iter	Logloss
0	0.6870252163
1	0.6813006337
2	0.6746972812
3	0.6672033325
4	0.6609964778
5	0.6539403599
6	0.647816902
7	0.6416101182
8	0.6353482191
9	0.6297500388
10	0.6226909452
11	0.6171839151
12	0.609799811
13	0.6038636311
14	0.5967151442
15	0.5917673868
16	0.5864628194
17	0.5813225661
18	0.5746007916
19	0.5688853705
20	0.5633534345
21	0.5580265618
22	0.5521306199
23	0.5472698459
24	0.5426249058
25	0.5385594439
26	0.5328302439
27	0.5279380967
28	0.5237990324
29	0.5187767118
30	0.5139333314
31	0.5100080962
32	0.5064277402
33	0.502192064
34	0.4981025822
35	0.4939494534
36	0.4902957199
37	0.4868553012
38	0.4830633866
39	0.479207113
40	0.475111272
41	0.4710953017
42	0.4677687256
43	0.4648731258
44	0.461777257
45	0.4574848315
46	0.4544330724
47	0.4515694731
48	0.4492606865
49	0.4463422189
50	0.4432599771
51	0.4398538346
52	0.437493283
53	0.4346094684
54	0.4317399515
55	0.4291322712
56	0.4262535685
57	0.4231933722
58	0.4200510717
59	0.4172156181
60	0.4151219569
61	0.4123276511
62	0.4101957318
63	0.4079303475
64	0.4054296794
65	0.4028009318
66	0.4010089387
67	0.398872105
68	0.3962743529
69	0.3936295542
70	0.3913443614
71	0.3889592653
72	0.3866402775
73	0.3848429152
74	0.3830307988
75	0.3810064291
76	0.379150612
77	0.3767464752
78	0.3741668833
79	0.3720972931
80	0.3700614593
81	0.3684309144
82	0.3668495019
83	0.3652012201
84	0.3635891323
85	0.3612863267
86	0.359434938
87	0.3575796066
88	0.3557139268
89	0.3534879065
90	0.3509772256
91	0.3493313362
92	0.3471745647
93	0.3459863994
94	0.3437952502
95	0.3420544907
96	0.3401989676
97	0.3388592275
98	0.3373057921
99	0.3359534058
100	0.334184922
101	0.3325123042
102	0.3308874412
103	0.3296255737
104	0.3282988524
105	0.3269941384
106	0.325698001
107	0.3243451159
108	0.3227315874
109	0.3214637721
110	0.3197893914
111	0.3185534135
112	0.3174306898
113	0.316106108
114	0.3147697182
115	0.3134651837
116	0.3116717645
117	0.310198505
118	0.3089481808
119	0.3073405221
120	0.3064460746
121	0.3049616603
122	0.3038427287
123	0.3026605119
124	0.3014317107
125	0.2996869221
126	0.2988184292
127	0.2975717304
128	0.2964566588
129	0.295233023
130	0.2939438347
131	0.2926230411
132	0.2911609241
133	0.290180242
134	0.2893787288
135	0.2879680093
136	0.2866383447
137	0.2855977491
138	0.2848925109
139	0.2835918754
140	0.2822818459
141	0.2809935843
142	0.2802817875
143	0.2794370673
144	0.2782781656
145	0.2772505041
146	0.2764553188
147	0.2753126776
148	0.2741049172
149	0.2730600457
150	0.2723094323
151	0.2716050415
152	0.2705368969
153	0.2695889997
154	0.2684085517
155	0.2675541126
156	0.2667025345
157	0.2650398452
158	0.2642683179
159	0.2629993238
160	0.2620319371
161	0.2612865961
162	0.2608840413
163	0.2602690551
164	0.2594645141
165	0.2584328742
