iter	Logloss
0	0.6595837746
1	0.629056133
2	0.5984350978
3	0.5761134309
4	0.5510408459
5	0.5261066792
6	0.5066886684
7	0.4855754423
8	0.4674274323
9	0.449572791
10	0.4339249654
11	0.4172187466
12	0.4028233083
13	0.389073628
14	0.3758632005
15	0.3661501232
16	0.3563383396
17	0.3466941244
18	0.3364092493
19	0.327123438
20	0.3180928772
21	0.3103107796
22	0.3025007992
23	0.2968124328
24	0.289019935
25	0.2821527504
26	0.2753987947
27	0.2704954366
28	0.2645143655
29	0.2594517216
30	0.2554209507
31	0.2485881019
32	0.2437299132
33	0.2387656382
34	0.2356530345
35	0.2314043764
36	0.228132233
37	0.2249880315
38	0.2213476761
39	0.2168338394
40	0.2143766513
41	0.2118360188
42	0.2079048065
43	0.2052803295
44	0.2030488817
45	0.1995885434
46	0.1971321758
47	0.1940839388
48	0.1918485557
49	0.19035392
50	0.1884151849
51	0.1859158359
52	0.1840159629
53	0.1817204753
54	0.1799632527
55	0.1781472752
56	0.176676458
57	0.1748038921
58	0.173376827
59	0.1724105404
60	0.1714661848
61	0.1700732439
62	0.1689636704
63	0.1672588715
64	0.1662585777
65	0.1646668263
66	0.1634052123
67	0.1625639037
68	0.1613704872
69	0.1606862158
70	0.1591833218
71	0.1582366276
72	0.1571232984
73	0.1565807051
74	0.1558218643
75	0.1546946308
76	0.1541749044
77	0.153076382
78	0.1523587509
79	0.1515571692
80	0.1508816248
81	0.150005574
82	0.1492102227
83	0.1482860571
84	0.1475946172
85	0.1466337158
86	0.145678786
87	0.1450198573
88	0.1437440548
89	0.143075799
90	0.1419495214
91	0.1413520547
92	0.1405343475
93	0.1395892574
94	0.1391279187
95	0.1385933012
96	0.138013516
97	0.1372003801
98	0.1365152579
99	0.1356599535
100	0.1351153573
101	0.1346994418
102	0.1343673342
103	0.1338611989
104	0.1333825498
105	0.1327697468
106	0.1321285068
107	0.1313527483
108	0.1307972605
109	0.1303104712
110	0.1298687413
111	0.1294070457
112	0.1284168052
113	0.1279845999
114	0.1276158716
115	0.1273209241
116	0.1268918783
117	0.1265455387
118	0.1262994734
119	0.1254503204
120	0.1251464264
121	0.1246221669
122	0.1242608578
123	0.1239086347
124	0.123286899
125	0.1225279485
126	0.1223110741
127	0.1216262461
128	0.1213760621
129	0.1210787524
130	0.1207247356
131	0.1202807702
132	0.120007475
133	0.1197506431
134	0.1194878907
135	0.1190563914
136	0.1188770989
137	0.118385478
138	0.1181402385
139	0.1176691904
140	0.1174084347
141	0.1168562586
142	0.116656438
143	0.1162967034
144	0.1158547741
145	0.1155961945
146	0.1151335072
147	0.1145311327
148	0.1142618493
149	0.113936812
150	0.1136052025
151	0.1131649527
152	0.1127897271
153	0.1125669473
154	0.1123555849
155	0.1120294234
156	0.1116645463
157	0.1113239092
158	0.1110579973
159	0.1107308635
160	0.110494451
161	0.1102149691
162	0.1100180872
163	0.1098636331
164	0.1093000746
165	0.1090784172
166	0.108913893
167	0.1086561113
168	0.1084108064
169	0.1081852561
170	0.1079900853
171	0.1076730715
172	0.1075045549
173	0.1073799354
174	0.1070540246
175	0.1068518505
176	0.1066109232
177	0.106310145
178	0.1061492416
179	0.1059956795
180	0.10576056
181	0.1054945646
182	0.1051749119
183	0.1049166021
184	0.1045845018
185	0.1044629367
186	0.1042020324
